Placement,Placement url,Type,Ad group,Views,Currency code,Avg. CPV,Impr.,View rate,Cost,Conversions,Cost / conv.,Conv. rate
GrANDkyman,http://youtube.com/channel/UCBD4umVNKQF4pA6mugeNtCQ,YouTube channel,AdGroup #1,2,USD,0.02,2,100.00%,0.04,0.00,0.00,0.00%
Watch Me,http://youtube.com/channel/UCGTl_sQxago30b5vfoMomCg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
3D Print Guy,http://youtube.com/channel/UCCjskdXEYX9GAxEjlMl81Ig,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
S.D.Y Hanako,http://youtube.com/channel/UC3VTzTxnQzvYzd_MDAoWjcg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Los Estramboticos Oficial,http://youtube.com/channel/UCK_q0K8EwOK3rPRB3jpH_2g,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
JANG Builds It!,http://youtube.com/channel/UC4LGQav2_pt90z3jah00Mug,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Kaname AMVs 玖蘭 枢,http://youtube.com/channel/UC9MxPZ-THgdhlQnsK6egdrw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
KANABOONVEVO,http://youtube.com/channel/UC5UQaWSW7AizXnW8xrYL-vw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Jerletts,http://youtube.com/channel/UC_b-4E8YRmq1vYNKFdPVJng,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
k a m a i t a c h i,http://youtube.com/channel/UCOgK2xOEXxCr6GnvRyXejqw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
