Placement,Placement url,Type,Ad group,Views,Currency code,Avg. CPV,Impr.,View rate,Cost,Conversions,Cost / conv.,Conv. rate
The 86th Floor: Cosplay and Cons,http://youtube.com/channel/UCfBZ5Bgo2F2wRiy68XCWpow,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
LK,http://youtube.com/channel/UCuMhcz39FjIPeHgOEyChvcg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
De Película - By Screen Rant,http://youtube.com/channel/UCOWKssYVOxWXFn7AhkOJdjw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
pixelechomoo Y,http://youtube.com/channel/UCsVwe--3mtrLnE7BlEv3ukw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Skyking AMV,http://youtube.com/channel/UCfewVpQ2H0Q64hjdprpi12A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
jeff bil,http://youtube.com/channel/UCmnM8m_N-RnyJ05DoxS-Qqw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Gabriel Lauzen,http://youtube.com/channel/UCOwwqcx0lSkTuO62VtwwJuA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Cry,http://youtube.com/channel/UCFVVNYga-7J6jTERwazjfEA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
G4Comics j,http://youtube.com/channel/UC0y80pAXqkcECiZIOuhedeQ,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
Blerk,http://youtube.com/channel/UCrse2LhqS3yNqNo-1YsKEOg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
VEGETTA777,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
NS16,http://youtube.com/channel/UCfVRjnl1KbsKRnO8QC4eR-w,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Battle Nerf War,http://youtube.com/channel/UCoGBmF0vMDreOF5ApnheWHQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
TheRedAceOfSpades,http://youtube.com/channel/UCiEk4DPY1Zu9cu8vHrGmKrg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
MissyAsylum,http://youtube.com/channel/UCbKzjW4QDlsRzwnMLQT0GmA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
RobbinRams,http://youtube.com/channel/UCLXzqg_ahPgFCU0JFGnsiqA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
sequence,http://youtube.com/channel/UCJ1eq8agT0swxaaB1viroJg,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
MechanicZ,http://youtube.com/channel/UCQWmz5oOUdb2-9wi3Z6PW7Q,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
HugoJ,http://youtube.com/channel/UCZvnJ8R1HrbcvJ0QWhQ8EeQ,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
SensaCine KIDS,http://youtube.com/channel/UC3_A2e6AKLKvu0eWxYpuspg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Brick Creation,http://youtube.com/channel/UC4vCM54krep4p67QUNx-2Kw,YouTube channel,AdGroup #1,9,USD,0.00,21,42.86%,0.04,0.00,0.00,0.00%
BigSecret,http://youtube.com/channel/UCIXlT5Ee8_iI7sLPQoDcUog,YouTube channel,AdGroup #1,4,USD,0.01,10,40.00%,0.03,0.00,0.00,0.00%
Yuri & Yan Games,http://youtube.com/channel/UCp9kUhmrINc8rkITh1aJIuw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Kido Network,http://youtube.com/channel/UCFLyXQ6OCyT3vBGnMLs7aIw,YouTube channel,AdGroup #1,1,USD,0.00,2,50.00%,0.00,0.00,0.00,0.00%
Pencilmiss,http://youtube.com/channel/UCuPbVh46a6WtY5mwMqLPCYg,YouTube channel,AdGroup #1,29,USD,0.01,74,39.19%,0.16,0.00,0.00,0.00%
SurpriseFunTV,http://youtube.com/channel/UCbLXfrb6dT54QtedNWXY2AQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Benny Mole em Português Brasil,http://youtube.com/channel/UC2THIdmxnyxVeWAWFv3tOkw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Yumy Apple,http://youtube.com/channel/UCgrxyDlTea9kiHsMghxUn8w,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Sinverguenza Alarcon,http://youtube.com/channel/UCz4YhMAjO3I8OInnsi8XZAA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
SrGato,http://youtube.com/channel/UCXtBi42Ml5rUHri30Bw829g,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
Adri,http://youtube.com/channel/UCNuMTUpcwaW_4sHxQAIs8Jw,YouTube channel,AdGroup #1,4,USD,0.02,4,100.00%,0.07,0.00,0.00,0.00%
TREVOR,http://youtube.com/channel/UCFyoQVryRKUxWpROdGpJWGw,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.02,0.00,0.00,0.00%
Annel Vare,http://youtube.com/channel/UCwsDNSnPURM8b3CtfMANkDQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Grecia Villar,http://youtube.com/channel/UC0Go__0IeUkj9SLuqtm8Kow,YouTube channel,AdGroup #1,2,USD,0.02,2,100.00%,0.04,0.00,0.00,0.00%
takena,http://youtube.com/channel/UCblsuOlPm3L2yCO7JvUzeFQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Viva Reverie,http://youtube.com/channel/UC4ToGRJNQFPFAphVOEgg0ag,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
TigerTomato,http://youtube.com/channel/UCCa0BnCIDBGzmw4daUGZ0yg,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.02,0.00,0.00,0.00%
Raybid,http://youtube.com/channel/UC72qgt4s1G48wt6yIAnv9fg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
VFX TV,http://youtube.com/channel/UCfxXHWOWAIjyqh3W0WrOrrg,YouTube channel,AdGroup #1,4,USD,0.00,8,50.00%,0.01,0.00,0.00,0.00%
7 Minutoz,http://youtube.com/channel/UCe6pKugTDyOPT1Md2DTybbQ,YouTube channel,AdGroup #1,14,USD,0.00,24,58.33%,0.04,0.00,0.00,0.00%
DarkTaurus,http://youtube.com/channel/UCAxs7QxI2-EYCU0tFxP6H0A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
raventitan2,http://youtube.com/channel/UCKuEtldYvosfi3lHLMtpPKg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
OR3O,http://youtube.com/channel/UCTAyRNwgMv_vvM8Z9UvKKEg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Omega Vageto,http://youtube.com/channel/UCAlEPfHBwxkgpjMirEoCMGA,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
Lena Miniatures,http://youtube.com/channel/UC2taSNhq-Gc71cmN-SdeQdA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Talitah Sampaio,http://youtube.com/channel/UC1o42CixCKPEUs2jIf2-DZQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
ANDREA LEE LIFESTYLE,http://youtube.com/channel/UCGq3gkX0_5o1KB6T4jdhE0g,YouTube channel,AdGroup #1,1,USD,0.05,1,100.00%,0.05,0.00,0.00,0.00%
Light Raider,http://youtube.com/channel/UC2cpvlLeowpqnR6bQofwNew,YouTube channel,AdGroup #1,1,USD,0.01,2,50.00%,0.01,0.00,0.00,0.00%
Flavio Presutti,http://youtube.com/channel/UCSRCxFg7idTMOnLtq8nRfvw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Bolis d Lucy,http://youtube.com/channel/UC_kABsdAY9aCrpcKFvknlVw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
KATHERINE TV,http://youtube.com/channel/UCZIApLbYC0esligK9WVbUcA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
KCN Channel TV2,http://youtube.com/channel/UCo75zHSLMD5nac5xirUeqhw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
TheHottest Dog,http://youtube.com/channel/UCqVDFs2-ZV5HVd6hiiDZ8gg,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
TopMovieClips,http://youtube.com/channel/UClVbhSLxwws-KSsPKz135bw,YouTube channel,AdGroup #1,2,USD,0.00,3,66.67%,0.01,0.00,0.00,0.00%
MystFro,http://youtube.com/channel/UC-zOYIkyfth2wvfnNZdkh6A,YouTube channel,AdGroup #1,2,USD,0.00,3,66.67%,0.01,0.00,0.00,0.00%
Johanser Tops,http://youtube.com/channel/UCZjKLIsTQKpw12NwOdhDGbQ,YouTube channel,AdGroup #1,1,USD,0.01,2,50.00%,0.01,0.00,0.00,0.00%
ocarinaplaya,http://youtube.com/channel/UCfP3R9vq0TlkXJTYoDP3NMw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
CG5,http://youtube.com/channel/UCLCdyRg3u5O-EVP5p46QxcQ,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.00,0.00,0.00,0.00%
Video Game News,http://youtube.com/channel/UCitsvZeConV2Im24BVFH8hg,YouTube channel,AdGroup #1,1,USD,0.01,2,50.00%,0.01,0.00,0.00,0.00%
Pencilmation TV,http://youtube.com/channel/UCMAqpE9zPQvRwGbC9ZefTNg,YouTube channel,AdGroup #1,5,USD,0.00,7,71.43%,0.02,0.00,0.00,0.00%
HelloMaphie,http://youtube.com/channel/UC6gqv2Naj9JiowZgHfPstmg,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
La Oreja de Van Gogh - Topic,http://youtube.com/channel/UCfp-OYNmi-Bzt9Wsp2m5kTw,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
Boku no Hero,http://youtube.com/channel/UC2KvBD7wqk00J7Hao-TPjgQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Dawko,http://youtube.com/channel/UCDfYcuNw-ff952Xn0VDWwDw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.00,0.00,0.00,0.00%
Tekashi 6ix9ine,http://youtube.com/channel/UCF6jRAgCbSanHolKt0Vt6Qw,YouTube channel,AdGroup #1,1,USD,0.00,3,33.33%,0.00,0.00,0.00,0.00%
Dalas SIN FILTROS,http://youtube.com/channel/UCUqvWUXerEGX33z3wmOnPrw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Stick Mation Sm,http://youtube.com/channel/UCvNLz9fBIcSIFNrCDc0h3Bw,YouTube channel,AdGroup #1,7,USD,0.01,25,28.00%,0.06,0.00,0.00,0.00%
YellowBee Craft,http://youtube.com/channel/UCxsIeNvDA7_BGEgmcTuUqTg,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
Elton's Stuff Productions,http://youtube.com/channel/UCGoqSOyv8UVVpP0mIJHQj9g,YouTube channel,AdGroup #1,6,USD,0.00,7,85.71%,0.02,0.00,0.00,0.00%
NerdAinikyGames,http://youtube.com/channel/UCWwG4eFvENgh-qhvL-YX8qw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
JemppuJr,http://youtube.com/channel/UClOslBU9OLgT5UUI8_4ZcNw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
진영예술가Artist Jinyoung,http://youtube.com/channel/UCasLYkCZlvVqMhrTMwoUBRQ,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
Casal Abacate l Quadrinhos Malucos,http://youtube.com/channel/UC4C6lGqWiZzzUwKQKzjYbGQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DisneyMusicLAVEVO,http://youtube.com/channel/UCzSoH92KxHSJA0Ig4fEEWIA,YouTube channel,AdGroup #1,4,USD,0.00,5,80.00%,0.01,0.00,0.00,0.00%
GradNC,http://youtube.com/channel/UCNG4AqyWQnCZImFhR2ouNaw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
stiwidos,http://youtube.com/channel/UCwanFKsJRYjpzGXjRoPd1-A,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Yokoi Kenji Diaz,http://youtube.com/channel/UCGeCSS6g1D7rv2LppDXcAdg,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.01,0.00,0.00,0.00%
TUNGPO CRAFT,http://youtube.com/channel/UCFMCXWqJ-PLW6C1i4NVpRCA,YouTube channel,AdGroup #1,2,USD,0.00,3,66.67%,0.01,0.00,0.00,0.00%
DibujAme Un...,http://youtube.com/channel/UCfA-gCLkNPXebZnVb2ES_Ag,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Pica Pau,http://youtube.com/channel/UCux9FWUg7EWFU0Jo_eohnIw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Toy Brinquedos,http://youtube.com/channel/UCawrPyurmME2i-d6DXPC-dw,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.03,0.00,0.00,0.00%
Superhero Smash,http://youtube.com/channel/UCYNJWJ5AsQdZU0hJawJvKiw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Cristi Suki,http://youtube.com/channel/UC56tyg3S9eFHpZObVkvwFlA,YouTube channel,AdGroup #1,3,USD,0.02,3,100.00%,0.06,0.00,0.00,0.00%
puccagarukiss,http://youtube.com/channel/UC6LJv9KWTQ-BiTU6oYiO8tA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
A TiNH,http://youtube.com/channel/UC805gc2-IjROOFQ-Kd-KG_A,YouTube channel,AdGroup #1,3,USD,0.01,3,100.00%,0.02,0.00,0.00,0.00%
Pompadorkery,http://youtube.com/channel/UC45BuQllnnHYo7_HstBN7lA,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
Tripixle,http://youtube.com/channel/UCYyeU5mhLXKRMMgqWyL9rwA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Tu COSMOPOLIS,http://youtube.com/channel/UCo4ywJQXfUIB0lCBpczW3cA,YouTube channel,AdGroup #1,3,USD,0.00,4,75.00%,0.01,0.00,0.00,0.00%
VMAni,http://youtube.com/channel/UCyIzMS9TSCTkrg8Ry6te55Q,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Eric Estepp,http://youtube.com/channel/UCuqJJN6Gfg02KaWLaWLB-4Q,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
METTA,http://youtube.com/channel/UCWx-ELKXDTQgDePc8lvTHKA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DarkHole,http://youtube.com/channel/UCkX_6yy5bWHFpzX7ayO6E7Q,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
두두팝토이,http://youtube.com/channel/UC7AmWE0eqBymIWwRnk8vmqg,YouTube channel,AdGroup #1,3,USD,0.00,4,75.00%,0.01,0.00,0.00,0.00%
Doods,http://youtube.com/channel/UC-Seahl1De4BnRjSrNyQezw,YouTube channel,AdGroup #1,4,USD,0.01,6,66.67%,0.04,0.00,0.00,0.00%
Gacha Cannon,http://youtube.com/channel/UC2aqehh-DNiZsbZODkrNY7A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
123 GO! SCHOOL Portuguese,http://youtube.com/channel/UCpsb2VKBPEy81DDKRvPEWwQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
TryHardNinja,http://youtube.com/channel/UCemfUpErlIGq5_ZsDVlEorg,YouTube channel,AdGroup #1,3,USD,0.01,3,100.00%,0.02,0.00,0.00,0.00%
Gato Galactico,http://youtube.com/channel/UCbt4SegZBQLeXMTMvnrfZtw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
유은YuEun,http://youtube.com/channel/UC8QoXKRurJiUBf4F2Fo3eyA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Domics,http://youtube.com/channel/UCn1XB-jvmd9fXMzhiA6IR0w,YouTube channel,AdGroup #1,1,USD,0.05,1,100.00%,0.05,0.00,0.00,0.00%
Quantastic,http://youtube.com/channel/UC8rraUhqs1GHjXj86gvt4FQ,YouTube channel,AdGroup #1,1,USD,0.04,1,100.00%,0.04,0.00,0.00,0.00%
rusplaying,http://youtube.com/channel/UCdID7mchW0tAbYgsmLQSjkA,YouTube channel,AdGroup #1,8,USD,0.02,18,44.44%,0.13,0.00,0.00,0.00%
TMS Rose,http://youtube.com/channel/UCiFKKqQOEIBme6hxP0zOw9Q,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Juca Paçoca,http://youtube.com/channel/UCw_QjxGONT8HqX4aGbxtDtw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
animers,http://youtube.com/channel/UCqpFU4IF9VH6THAKWz2xBCQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Super ToyKids Miniaturas,http://youtube.com/channel/UC0Ue4OqzpoVaNbsIVLJn2AQ,YouTube channel,AdGroup #1,1,USD,0.01,2,50.00%,0.01,0.00,0.00,0.00%
핑키팝토이,http://youtube.com/channel/UCurhiEYP-yQBRF9XNFHg4Ug,YouTube channel,AdGroup #1,7,USD,0.01,23,30.43%,0.04,0.00,0.00,0.00%
Kira0Loka,http://youtube.com/channel/UClTf9_COnyHtvzoc85bckVw,YouTube channel,AdGroup #1,3,USD,0.00,3,100.00%,0.01,0.00,0.00,0.00%
NadiaSK,http://youtube.com/channel/UCGOhfgAOzQFLpvTbVoJMEig,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Alex Paúl,http://youtube.com/channel/UCma7XdJkkxdLEu4q4EVeXgw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Laura Páez,http://youtube.com/channel/UCWHcxxOecU1Q0XRPjIOPshQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
European Cosplay Gathering,http://youtube.com/channel/UCP65txQ1Q_hPZV6Cn-XRekA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Discovery Home & Health Brasil,http://youtube.com/channel/UC9VhtZjYX-bThpByxvqzWCg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Mundo Dos Desenhos,http://youtube.com/channel/UC1og2cDVfICGnSYDU9sAPEQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Magnus Lindoe,http://youtube.com/channel/UCdUrV9tXpKeRGmsFuPBqD2A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Tricker,http://youtube.com/channel/UCe1GhX-KqmGFcWkFgkyMwRw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Ale Zéguer,http://youtube.com/channel/UCoZ9qxX18kOsq5c3TR1zF7A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Kitsyblitsy,http://youtube.com/channel/UC6yPiYRfx1tn-UhBFYx6Rug,YouTube channel,AdGroup #1,1,USD,0.04,1,100.00%,0.04,0.00,0.00,0.00%
Família França,http://youtube.com/channel/UCJtzBH7ChheCbfhuWL7l7RQ,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Saki Ofelia,http://youtube.com/channel/UCybjVCvln42pisc1mFc9M2A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Vou ler para você!,http://youtube.com/channel/UC9n9rIq1ZKsFefbipFFhVuw,YouTube channel,AdGroup #1,3,USD,0.01,3,100.00%,0.02,0.00,0.00,0.00%
HeroSmashers,http://youtube.com/channel/UCCN0QF1suEsqrJTL_7iDdTA,YouTube channel,AdGroup #1,11,USD,0.01,21,52.38%,0.07,0.00,0.00,0.00%
Jehu Llerena,http://youtube.com/channel/UCAf2t0z4qczn0fqtn2yM7jg,YouTube channel,AdGroup #1,7,USD,0.01,20,35.00%,0.06,0.00,0.00,0.00%
Franki Cadi,http://youtube.com/channel/UCokS0LRYlg2KVk4pZ_WPDoQ,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.00,0.00,0.00,0.00%
Coloring Art Tables,http://youtube.com/channel/UCT2WzoaVH7FLuIOze-nk3Ow,YouTube channel,AdGroup #1,6,USD,0.00,14,42.86%,0.03,0.00,0.00,0.00%
Hilton Animations,http://youtube.com/channel/UCWC2cXaQVaN6ucNRiHl4Wjw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
LauraTrev1,http://youtube.com/channel/UCpC0jDwaHk3UblofHyrQlcg,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
GreyDazeVEVO,http://youtube.com/channel/UCiY8VdvczSTJIAmZJ-Hh6TA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DonDaves,http://youtube.com/channel/UCAZhEJdzSsO0B10YXRvpHGQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DEEPXELS TV,http://youtube.com/channel/UCj6ZDydMRfb0c-73yW9VFUA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Centimillimental - Topic,http://youtube.com/channel/UCUruaitWu07N2ErrUaBgLWw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
FoxGun 3D,http://youtube.com/channel/UCXMH3PeTgAdIPbcF5f3C_pg,YouTube channel,AdGroup #1,5,USD,0.00,9,55.56%,0.02,0.00,0.00,0.00%
jerseyfashionista tv,http://youtube.com/channel/UC3BaMxpk1UNCGgJTc9ttdHw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
re:dorama `,http://youtube.com/channel/UCdtPlvkPubFpqgkmawqXuCA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Magnet Balls,http://youtube.com/channel/UCYa4_IABTIiGEsaw-vJ3rGQ,YouTube channel,AdGroup #1,0,USD, --,0, --,0.00,0.00,0.00,0.00%
ranmsha1,http://youtube.com/channel/UCTzy3mJbIWmzjs6AmHKAUSw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
內科ღ S H A N T I ツ,http://youtube.com/channel/UC5H3p6n-8GQdWNDX1saBSZA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
scroll忍,http://youtube.com/channel/UC-ciXrv4h_IE3ga1dMfTUdA,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
ElFikuWTF,http://youtube.com/channel/UCG3DoKu53xn9b7s305-DHUQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
joeblackman100,http://youtube.com/channel/UCt72jlieKYAnsBBniPsphGA,YouTube channel,AdGroup #1,1,USD,0.00,2,50.00%,0.00,0.00,0.00,0.00%
Saltydkdan,http://youtube.com/channel/UCYBbrJH2H6tmQZ7VHyA_esA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Ferry,http://youtube.com/channel/UC8Brf3y0cLrxdn-Fv2P1BvQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Kate ortiz,http://youtube.com/channel/UCfyeKtT4cZjiiH9Ss6i_64w,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
BaronBero,http://youtube.com/channel/UCCzy6IrwWZMiQMtwANzTCaQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Juliya,http://youtube.com/channel/UCCFwisNDDTZLMk9Anv--8Gw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Nekojitablog,http://youtube.com/channel/UC-UcKEWOSpz0AfY33TrYw3g,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Guazú,http://youtube.com/channel/UCBvqieC_EpsPDmaqkuUUQSg,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
AutoVlogSam,http://youtube.com/channel/UCoTwuZWfViTI4BGeNf9TzQA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
JACK THE KNIGHT,http://youtube.com/channel/UCZ7mOwUEVVpz-AeQN5g-jtQ,YouTube channel,AdGroup #1,2,USD,0.02,2,100.00%,0.05,0.00,0.00,0.00%
Ethan Becker,http://youtube.com/channel/UCwmDCkPQojch5khdMYCb0EA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Família Maloucos,http://youtube.com/channel/UCc-DqkU-dsAGocipGthDalg,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.01,0.00,0.00,0.00%
REEM ALICE,http://youtube.com/channel/UCKuuaj__VPCXaWOAzc5U1gQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
